test_case_name,beta[deg],theta[deg],Cx_Ls,Cy_Ls,Cz_Ls,Cxx_Ls,Cyy_Ls,Czz_Ls
Julsund_theta_-10,0,-10,0,0.0273666,-1.00696,0.214661,0,0
Julsund_theta_-9,0,-9,0,0.0301307,-0.980643,0.203934,0,0
Julsund_theta_-8,0,-8,0,0.0361056,-0.93622,0.187616,0,0
Julsund_theta_-7,0,-7,0,0.0442702,-0.884173,0.168496,0,0
Julsund_theta_-6,0,-6,0,0.0532863,-0.819508,0.147283,0,0
Julsund_theta_-5,0,-5,0,0.0620411,-0.754893,0.125549,0,0
Julsund_theta_-4,0,-4,0,0.0708138,-0.680208,0.102685,0,0
Julsund_theta_-3,0,-3,0,0.0781171,-0.605926,0.0799433,0,0
Julsund_theta_-2,0,-2,0,0.08423,-0.533071,0.0580124,0,0
Julsund_theta_-1,0,-1,0,0.0895899,-0.460803,0.0367577,0,0
Julsund_theta_0,0,0,0,0.0940663,-0.389553,0.0158208,0,0
Julsund_theta_1,0,1,0,0.097689,-0.31748,-0.00412543,0,0
Julsund_theta_2,0,2,0,0.100769,-0.246498,-0.0236118,0,0
Julsund_theta_3,0,3,0,0.102644,-0.172164,-0.0421814,0,0
Julsund_theta_4,0,4,0,0.103765,-0.0950672,-0.0597078,0,0
Julsund_theta_5,0,5,0,0.103784,-0.017646,-0.0757155,0,0
Julsund_theta_6,0,6,0,0.103627,0.0610084,-0.0898439,0,0
Julsund_theta_7,0,7,0,0.103709,0.133007,-0.100612,0,0
Julsund_theta_8,0,8,0,0.104331,0.192674,-0.10788,0,0
Julsund_theta_9,0,9,0,0.105899,0.239557,-0.112447,0,0
Julsund_theta_10,0,10,0,0.106877,0.275195,-0.11566,0,0
