test_case_name,SOH_beta_uncorrected[deg],alpha[deg],beta[deg],theta[deg],Cd_U_H_SOHreport,Ca_U_SOHreport,Cl_U_SOHreport,Cra_U_SOHreport,Cd_Uyz_H,Ca_Uyz,Cl_Uyz,Crd_Uyz,Cra_Uyz,Crl_Uyz,Cx_Ls,Cy_Ls,Cz_Ls,Cxx_Ls,Cyy_Ls,Czz_Ls,Cq_bar_Lw,Cp_bar_Lw,Ch_bar_Lw,Cqq_bar_Lw,Cpp_bar_Lw,Chh_bar_Lw
Julsundet,0,-10,0,-10,-,-,-,-,-,-,-,-,-,-,0,0.0273666,-1.00696,0.214661,0,0,-,-,-,-,-,-
Julsundet,0,-9,0,-9,-,-,-,-,-,-,-,-,-,-,0,0.0301307,-0.980643,0.203934,0,0,-,-,-,-,-,-
Julsundet,0,-8,0,-8,-,-,-,-,-,-,-,-,-,-,0,0.0361056,-0.93622,0.187616,0,0,-,-,-,-,-,-
Julsundet,0,-7,0,-7,-,-,-,-,-,-,-,-,-,-,0,0.0442702,-0.884173,0.168496,0,0,-,-,-,-,-,-
Julsundet,0,-6,0,-6,-,-,-,-,-,-,-,-,-,-,0,0.0532863,-0.819508,0.147283,0,0,-,-,-,-,-,-
Julsundet,0,-5,0,-5,-,-,-,-,-,-,-,-,-,-,0,0.0620411,-0.754893,0.125549,0,0,-,-,-,-,-,-
Julsundet,0,-4,0,-4,-,-,-,-,-,-,-,-,-,-,0,0.0708138,-0.680208,0.102685,0,0,-,-,-,-,-,-
Julsundet,0,-3,0,-3,-,-,-,-,-,-,-,-,-,-,0,0.0781171,-0.605926,0.0799433,0,0,-,-,-,-,-,-
Julsundet,0,-2,0,-2,-,-,-,-,-,-,-,-,-,-,0,0.08423,-0.533071,0.0580124,0,0,-,-,-,-,-,-
Julsundet,0,-1,0,-1,-,-,-,-,-,-,-,-,-,-,0,0.0895899,-0.460803,0.0367577,0,0,-,-,-,-,-,-
Julsundet,0,0,0,0,-,-,-,-,-,-,-,-,-,-,0,0.0940663,-0.389553,0.0158208,0,0,-,-,-,-,-,-
